seed,audit_samples,axis,corner_prediction_identity_fraction,corner_trace_identity_fraction,mean_per_input_max_spike_hamming,prediction_identity_with_trace_change_fraction,relative_radius,variant_count
1701,861,timestep,1.0,0.9976771196283392,4.173925667828107e-06,0.0023228803716608595,1e-06,2
1701,861,threshold,1.0,0.9988385598141696,2.5406504065040655e-06,0.0011614401858304297,1e-06,2
1701,861,joint_corners,1.0,0.9953542392566783,6.714576074332172e-06,0.004645760743321719,1e-06,4
1701,861,timestep,1.0,0.9779326364692218,5.4261033681765386e-05,0.022067363530778164,1e-05,2
1701,861,threshold,1.0,0.9732868757259001,6.460511033681765e-05,0.026713124274099883,1e-05,2
1701,861,joint_corners,0.9988385598141696,0.9396051103368177,0.00015661295005807202,0.059233449477351915,1e-05,4
1701,861,timestep,0.9965156794425087,0.7700348432055749,0.000622459349593496,0.2264808362369338,0.0001,2
1701,861,threshold,0.9965156794425087,0.7200929152148664,0.0007592915214866434,0.2764227642276423,0.0001,2
1701,861,joint_corners,0.9907084785133565,0.5725900116144018,0.0012138864692218352,0.4181184668989547,0.0001,4
1701,861,timestep,0.9698025551684089,0.10336817653890824,0.003609356852497096,0.8664343786295006,0.001,2
1701,861,threshold,0.9698025551684089,0.06039488966318235,0.00399390243902439,0.9094076655052264,0.001,2
1701,861,joint_corners,0.9581881533101045,0.009291521486643438,0.005574368466898955,0.9488966318234611,0.001,4
1701,861,timestep,0.9337979094076655,0.0,0.01123584494773519,0.9337979094076655,0.01,2
1701,861,threshold,0.9314750290360047,0.0,0.012373148954703834,0.9314750290360047,0.01,2
1701,861,joint_corners,0.8943089430894309,0.0,0.017205284552845528,0.8943089430894309,0.01,4
2718,861,timestep,1.0,0.9965156794425087,1.7421602787456446e-05,0.003484320557491289,1e-06,2
2718,861,threshold,1.0,0.9965156794425087,1.7421602787456446e-05,0.003484320557491289,1e-06,2
2718,861,joint_corners,1.0,0.9941927990708479,1.9780778164924506e-05,0.005807200929152149,1e-06,4
2718,861,timestep,1.0,0.9779326364692218,5.643873403019745e-05,0.022067363530778164,1e-05,2
2718,861,threshold,1.0,0.9698025551684089,6.769018583042974e-05,0.030197444831591175,1e-05,2
2718,861,joint_corners,1.0,0.9384436701509872,0.0001754863530778165,0.06155632984901278,1e-05,4
2718,861,timestep,0.9965156794425087,0.7375145180023229,0.0007507621951219513,0.2590011614401858,0.0001,2
2718,861,threshold,0.9965156794425087,0.6759581881533101,0.0008523882113821138,0.3205574912891986,0.0001,2
2718,861,joint_corners,0.9907084785133565,0.5098722415795587,0.0013886469221835072,0.4808362369337979,0.0001,4
2718,861,timestep,0.9779326364692218,0.059233449477351915,0.004286984610917538,0.9186991869918699,0.001,2
2718,861,threshold,0.9767711962833914,0.030197444831591175,0.004693670150987224,0.9465737514518002,0.001,2
2718,861,joint_corners,0.9698025551684089,0.0011614401858304297,0.006197553716608594,0.9686411149825784,0.001,4
2718,861,timestep,0.9291521486643438,0.0,0.01226371951219512,0.9291521486643438,0.01,2
2718,861,threshold,0.9291521486643438,0.0,0.013693742740998839,0.9291521486643438,0.01,2
2718,861,joint_corners,0.8954703832752613,0.0,0.019191710220673636,0.8954703832752613,0.01,4
3141,861,timestep,1.0,0.9965156794425087,1.6877177700348432e-05,0.003484320557491289,1e-06,2
3141,861,threshold,1.0,0.9930313588850174,2.7584204413472706e-05,0.006968641114982578,1e-06,2
3141,861,joint_corners,1.0,0.9907084785133565,3.1576655052264815e-05,0.009291521486643438,1e-06,4
3141,861,timestep,1.0,0.9709639953542393,6.950493612078978e-05,0.029036004645760744,1e-05,2
3141,861,threshold,1.0,0.959349593495935,0.0001018074912891986,0.04065040650406504,1e-05,2
3141,861,joint_corners,1.0,0.9396051103368177,0.0001600609756097561,0.06039488966318235,1e-05,4
3141,861,timestep,1.0,0.7549361207897793,0.0006774462833914053,0.2450638792102207,0.0001,2
3141,861,threshold,1.0,0.7166085946573751,0.0007701800232288038,0.28339140534262486,0.0001,2
3141,861,joint_corners,0.9930313588850174,0.5516840882694541,0.0013966318234610918,0.4413472706155633,0.0001,4
3141,861,timestep,0.9698025551684089,0.0975609756097561,0.00404072299651568,0.8722415795586528,0.001,2
3141,861,threshold,0.9686411149825784,0.05807200929152149,0.004494410569105691,0.9105691056910569,0.001,2
3141,861,joint_corners,0.9535423925667829,0.005807200929152149,0.006020434088269454,0.9477351916376306,0.001,4
3141,861,timestep,0.9396051103368177,0.0,0.01123493757259001,0.9396051103368177,0.01,2
3141,861,threshold,0.9314750290360047,0.0,0.01250489982578397,0.9314750290360047,0.01,2
3141,861,joint_corners,0.8826945412311266,0.0,0.017526495354239256,0.8826945412311266,0.01,4
5772,861,timestep,1.0,0.9965156794425087,9.799651567944251e-06,0.003484320557491289,1e-06,2
5772,861,threshold,1.0,0.9953542392566783,1.3973577235772358e-05,0.004645760743321719,1e-06,2
5772,861,joint_corners,1.0,0.9907084785133565,2.522502903600465e-05,0.009291521486643438,1e-06,4
5772,861,timestep,1.0,0.9790940766550522,5.3535133565621374e-05,0.020905923344947737,1e-05,2
5772,861,threshold,1.0,0.9698025551684089,7.150116144018584e-05,0.030197444831591175,1e-05,2
5772,861,joint_corners,1.0,0.9512195121951219,0.00011668844367015098,0.04878048780487805,1e-05,4
5772,861,timestep,0.9953542392566783,0.7560975609756098,0.0006600246806039489,0.23925667828106853,0.0001,2
5772,861,threshold,0.9941927990708479,0.7131242740998839,0.0007640098722415796,0.281068524970964,0.0001,2
5772,861,joint_corners,0.9941927990708479,0.5481997677119629,0.0013104311846689897,0.445993031358885,0.0001,4
5772,861,timestep,0.9814169570267132,0.0975609756097561,0.0038766695702671314,0.883855981416957,0.001,2
5772,861,threshold,0.9790940766550522,0.05807200929152149,0.004244519454123113,0.9210220673635308,0.001,2
5772,861,joint_corners,0.9686411149825784,0.011614401858304297,0.0057631024970964005,0.9570267131242741,0.001,4
5772,861,timestep,0.9303135888501742,0.0,0.011221145470383276,0.9303135888501742,0.01,2
5772,861,threshold,0.9291521486643438,0.0,0.012301284843205576,0.9291521486643438,0.01,2
