seed,center_target_identity_fraction,center_target_identity_inputs,continuous_grid_identity_cost,deployed_model_artifact_hash,deployed_model_hash,grid_family_identity_fraction,grid_family_identity_inputs,grid_pair_disagreement_fraction,labels_used,max_unique_predictions,mean_unique_predictions,method,optimization_steps,repair_report_hash,trainable_parameters
3141,0.8455284552845529,728,0.08362369337979103,9110ffe348b7b917693c31a8cd83f9878ef5f25499ba90a6448471ad3ff614a5,e6909aa88caff5d22c0aef06a8a0bf274708393a8728db4bba97f7adaa2f33e1,0.7619047619047619,656,0.15128833828020816,repair calibration labels,4,1.2113821138211383,per_platform_qat,280,211bcd0edd9d65c0fa3f7e12f4417344f1b438cf8c1da78180baead6dac1211c,108928
5772,0.778164924506388,670,0.14518002322880375,4e7aeaae601d203ed022bb8fa9278fa47255af1f82cee9d422906c325d8627c3,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0.6329849012775842,545,0.22633744855967075,none,5,1.3310104529616724,no_repair,0,,0
5772,0.8861788617886179,763,0.11382113821138218,3257aabe47fdd0fc19493aef1b3447e39b6b30f5fe87f1916dd8b442fc3c6826,294ba6d468d5a0fc1f52402567fbe357fb8648fa55b32df06aaae055ba5dce3d,0.7723577235772358,665,0.1156565004803487,none,4,1.2346109175377469,certificate_directed,280,554a13b72540692b6327137991a7294cf6545d936928f740e330aad52fc926c9,640
5772,0.89198606271777,768,0.1207897793263647,5fdb028d785b14b196c499c1b69ee3647884d404c9ddce653a514cfad704b14c,fd5f858b2226c1ef4006d8d75196a37eb30040e17672a1b94d92c52c79fad378,0.7711962833914053,664,0.11544141896445415,none,4,1.2334494773519165,logit_only,280,e0f1d13f03967385dccfc8effac0edb70fc65e732f584888fc6545cef9c5b63c,640
5772,0.8478513356562137,730,0.12427409988385596,70508ffcf4efe2591ebf18d118af510c1d036f7a36803ec146bdc6e27ee66a7b,293e91f876e3d8d2cb537b137dc25a0e40e56dcdd98dd886287b0a89f4a3fee1,0.7235772357723578,623,0.154844352676331,none,5,1.2717770034843205,global_threshold,0,13e4bdfce8b3fb48d403ddecf2a7cb7ddacea368f18a413ac9f21161e02eeece,1
5772,0.8211382113821138,707,0.06387921022067367,1e6e33e5288cc73b2e7bd5ceae37a3396b4b4b86cacfa1b95c3e54f836e33c34,6e646fb1e77cc58b4a6f6443896895f34501c05415113ab181511c4fe516e471,0.7572590011614402,652,0.17038757689164197,repair calibration labels,4,1.197444831591173,per_platform_qat,280,12e09b6d20e8ec406cd325beb64fcb7923aec11544a092bc9b15e753013130e9,108928
8119,0.8037166085946573,692,0.1045296167247386,466296e5d76aa2de17e1ce61c229a702e8496cf3e76b31a52b3e44e8d72a3ed5,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0.6991869918699187,602,0.192497956725599,none,4,1.2950058072009292,no_repair,0,,0
8119,0.8606271777003485,741,0.11149825783972134,ae331c1b92dce3d3a214db5a394c78c829bf518c90f883bceeb024a1482b41a1,4002b431622e774ecf24a3802ede387367933d69b062e9c3f6b7a951b134b551,0.7491289198606271,645,0.13861286761015756,none,5,1.248548199767712,certificate_directed,280,b46ef39d46b6a6137912b803a382a27140df759b9e3c851071153cb84109abd2,640
8119,0.9036004645760743,778,0.1149825783972126,d8f9db7d96488fa34aa8478406d06c8ba5f3f11a5de6e63ca9b7f463e3394e18,a8cb4d7e12729bb7362baadbbc6e16e0ec454f4f548e1453c1557d83eb29addc,0.7886178861788617,679,0.10488808591789622,none,5,1.2264808362369337,logit_only,280,0b60951211d61f1ccf41f43bca5fc96a81f16b19adaf18b98da4502e898b9622,640
8119,0.8652729384436701,745,0.1370499419279907,d5fa5de08104c72c8a68adb9749b74acef4105142d719e3d4f5914220653a611,ff04447b41686363f0bf116d70c05b25b92aa87121a24e500915bb8f8204e727,0.7282229965156795,627,0.1439755667397944,none,5,1.2775842044134726,global_threshold,0,f6de77200f2d07969210d1545baf1d290fa6fc80ac16ca6b6e0cdb97754e798e,1
8119,0.8373983739837398,721,0.08594657375145176,d16c02e2d9fa385121a53d0c780774a2ed281b790cf84bddeaf27dfd3336cd88,e100ee7650474afdaddc12f665fd0e49370a7386fc66041d442743968ee16a10,0.7514518002322881,647,0.15480133637315208,repair calibration labels,5,1.2125435540069687,per_platform_qat,280,97fe1e962925628c4f1928596d38b99ee0d28fa4a2bf8516b5fe3ebb894a8747,108928
