seed,center_target_identity_fraction,center_target_identity_inputs,center_target_identity_packed_hex,continuous_grid_identity_cost,deployed_model_artifact_hash,deployed_model_hash,grid_family_identity_fraction,grid_family_identity_inputs,grid_family_identity_packed_hex,grid_pair_disagreement_fraction,labels_used,max_unique_predictions,mean_unique_predictions,method,optimization_steps,repair_report_hash,trainable_parameters
3141,0.24390243902439024,210,c0c208a8900ca081090014405420b4000220048002a6a00082601444006234023250500049a8200084603a08420025460b033890291141401846223284109e58012a01698000040612209090100c5801086282119a141004831161a0a8c9022114200108420a005028070817,0.027874564459930307,0c10646241067027692cbf89ded26417fe97a3899b43eb74c9bbed774c1bbdf3,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,0.21602787456445993,186,c0c200a8900ca081010004405420b400000000800226a00082601444006214023250500049a0200084603200420025460a023090291141401846223284109e58002a01698000040612208090100c58010822821088141004831161a0a089022114200008420a005028070813,0.7543195537775483,none,4,1.1358885017421603,no_repair,0,,0
3141,0.8292682926829268,714,f4ffffffbf7dffd7bd2ff7ebeeedffebe5fdeef7ebf7eef5efdfbffcfaf79fffdbe7fbd7fcffffeffffbffff9ff639cbfbbbf7ddeb5ffff14feffffffcf7f6fed8ffff77dfbf7ffeff7df7fdb7dffff6edfbfedffffe6fdfebffffbfbecdfb7f27def5fefedf7bffffffcb13,0.08594657375145176,2deede9bf73faff0b1cedb7375f11cf87b492f981273fb5ac35b70adff58055b,362149c39c6626e58e7b520b401c90c819cf59b67687a59e3a2288f52b370578,0.743321718931475,640,e4bfff7b3f7ddfc7ad2fe7cbeae8e7ebe1ddeef6abf7eef5ef5faffcf8f38d3fdbe7fbd7fcffffeff7fbffff9f56314bfb9bf7ddeb576fb14fcf7ffffcf7767e48feff779fbf7ffeff7d77fdb5dffdb6e97bfcdffff66fdee9ff7dbfb2ccea7f25dcf5fc7edd7a9cfedfcb13,0.17686869990393028,none,4,1.2009291521486642,certificate_directed,280,5cf6bc57e94e37e77360929a92ef8a5da9659a83c85f2a36ba293539671ea631,640
3141,0.8583042973286876,739,ff3ffffe7fffefffff3ff5fb6efdfff3fdf9fef7dffffef5ffefff7fefffbdfffff7ffd7feffffbfeffefffdbff23bdffbbbf7fceb77ffb55bef7effffd7e6fefededfffbefdffbeffddfffdfddffdfee8ffffffeffeeff5fffffdfffe98bbed7bfef7edf6dfbaffffdfeb1f,0.08943089430894313,67add1a49de75ebdf0e272751dadfe2d7950e3fc83fbc219bc5cb6624df399c0,0c3a2a52f8980e334ecde9e5065745d9981df5f885e56934af048734247ef7f5,0.7688734030197445,662,fc37fffe7fffeff2ef3bf57b6afdeff3f5f9def7cb73fef5efc7ff7aebbfbdef7fd3fbd7fefdffbfebf8ffed9ff233dbfbbbf7dc6b75fdb54bef7effffd7e6fe5adedfb78ebdfdb6ffddfffdcddffdfec8ffffffef7aeff1bbedfdffbe98ba6d3bbef7ec72ddbaf6fe57eb1f,0.14179607404539651,none,5,1.1951219512195121,logit_only,280,f28a270ff7e1b5722c865f72e6acf4e245debff473db2626a6d627049a198b36,640
3141,0.24041811846689895,207,c0c200b8820ca081090010405428b4000220048002a6a00182601404004234021640500049a8200084643a0002002d460b033890391141401946023a84109e50002a017b8000840602609490100c6801286282109a141010830161a0a8c9022114000000420a005028070813,0.02206736353077815,3ea48ad55d519f0d09873836c22134a555347d0823147cb65f9d6a41385d07f5,5ae3cb87825c5c5ae554987a37e05b8ab99b38be9928945d071397837fa4bac6,0.2183507549361208,188,c0c200b88008a081090010401428b4000220048002a6a00182601404004214021600500049a8200004603a0002002d420a023890291141401846023204109e40002a017b8000840602609490100c48012862821098141010810161a0a8c9022114000000420a001028070813,0.7558538019242627,none,3,1.132404181184669,global_threshold,0,c555c225740a91d2cee3f3e6b55d7810b0e2908b81c7d31c38f6b80a6a6bd823,1
3141,0.8652729384436701,745,fc37f77bffffefdfef4ff5fb6efbcfe3e7fd5fffebe7cfd5ef7fef7bfff7bdffffd7fff7fffffffffffffffbffd6f5f5fb3bfffdff7ffeed0fff7ffffdd7f6fefefffffffefdffffff5f3ffdfddffdfeef7ffcffff7efffdeffffdffb79ffffffffef5fcfefde7bffefffb1f,0.07549361207897798,bbd3fad91bb8be32bed7bd728b4cc02a0e92855b6b6cf797e49ebfedad012d7a,d875bf75714c160a4cd67a531691a41e5d39d4d72a185018967660d080471f43,0.7897793263646922,680,f435f77bbfdfefc7e34ff1eb6e69c7e2e1fd4ff7abe7ce95ef7bef7bffd7b9fffbd7ffd7fdffffffeff9effbefd6b5d1fb1bf7fdbf7ffe610fff7ffff5d7e6fefcbfff7ef6fdff7eff5f37fdfddff9feed7ffcfdef7efffdebfffdffb78ffbffff9ef5fcfefd67bf7edfeb1f,0.1365624238252965,repair calibration labels,5,1.1660859465737514,per_platform_qat,280,1b0a3429a548c0964b3d0f5133af44ace99d4d128eb83df4970d5cfa06a4b403,108928
5772,0.16260162601626016,140,c00a00a08208a0810000044804242410040000800220800902000400000004021600500049a02000046032144000640200223010281060400866023004108650082a00410000048600008090100c08001820021088141000810100a0a089022114000408020b101020030813,0.0034843205574912883,4e7aeaae601d203ed022bb8fa9278fa47255af1f82cee9d422906c325d8627c3,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0.15911730545876887,137,c00200a08208a0810000044804242410040000800220800102000400000004021600500049a02000046032144000640200223010281060400866023004108650082a00410000048600008090100c08001820001088141000810100a0a089022114000408020b101020030813,0.8348317345607319,none,2,1.0638792102206736,no_repair,0,,0
5772,0.8501742160278746,732,f5dff77fffd7ffd3ffff672f7eedeffaffff77dfcfefdffffffbafdbffffbffedbcf7effbdffffffff7ffbefffdffb5ff7fefa9f3bfdffe55fff7ffff49f6fffdefffffefffdff7fffdf7dfffddf7fffc977ffbfeff5efddfbef7fffbe6cea4f7ffef9b8fbd77bffffdfff1d,0.09291521486643439,5247858eeddb8d910c94af2ec8f7fa572a643c9bff9f7d56ee2447112394f7cd,732a79c375ef9aa58ace83780e898da087b2e56cbc98530530b9e752709cae67,0.7572590011614402,652,f59ff77ff7d7dfc3ffbb672b7ee9efba77ff67decf6fdafffffbaf1bffdf9bfedac77edfbdbf7fdfff7ffbebffda3b5fd3befa9f2b7dfee55bff7eeef49f6fffdcffff76e6f9ff3effdf757ff5df7fdfc973febf4f756fdde3ed7db73a44aa4f7ffc79887bd773ffffcfff15,0.1576260736152335,none,4,1.1962833914053426,certificate_directed,280,4f84703e4ec3ef8d4c0a5213e27b31a2a5ab1d04b29b3a1b3c4a6ecd44a61b61,640
5772,0.8176538908246226,704,f7dff77b7fffffd79febeb47fefbfffa7dfbe2fbbf77deffffffefdbfebbff3fdfd7ff5f7ffffd9fff7ffbef9ffa37dffbfffabd3ffd7ff59ffffe7ffcfee7fb9e7e7ff7a7ff7f2ffffd71ffffdf7bfbeefff6bdef3ceffdedef7dfb3aeca6e97bbef9f37bdf6bf7ffdfff17,0.0766550522648084,0ef6b842faa2ce4a3cd6a37b68e738fc465f574a57f2c6b369eabd37bd22fe40,c48602c579a6ef399c7409d7a570422647dd23ae9a2d5caf03cdbd7a2dceadba,0.7409988385598142,638,f79ff57b7ffddbd397a9e3477eebfdaa75fb42db9b77def7efffefcbfeabff3fdfd7ff5f7ffffd9fff7bfbef9ff033dbf3dff2bd3bfd7ff10f9fbe7ffcfce6fb9e7e7ff7a7fd7d2efd7971ffbddf7bfaee7bf6bdef3ccbd5e9ef7dfa3aeca2e97bbcf9b37bdf6bf6f7cfff15,0.1847120058502172,none,4,1.173054587688734,logit_only,280,bddecc7a399cf8741830efb62185f6f15a7e14c96a5f917643c0675f42ee4446,640
5772,0.20557491289198607,177,c60210aa80c9a08100000040a8646409240000820224001802400c8000a2000a024050004880a100057012040040640200a33210211040400847061a00118212002e08430000448248011091100c68820800861489141011814100a02081822110041400024b209440070813,0.03600464576074333,326eed2f8cb268ba2ca915929fa4fe2118e51fc01eb1b85790ed383b7c4757a8,3c7059f7febaca950a6448f4b21ba859ea473e2510a028d375b660c329523745,0.16957026713124274,146,c60200aa80c8a0810000004000646400040000800224001802400c80002200020200500048802100047012000000640200233210211040400847061a00108202002a08410000448248010090100c48800800861488141001814100a02081802110041400020b009400070813,0.7946831849270873,none,4,1.1486643437862951,global_threshold,0,3c9975e895b88ce0bd33241b70fcb350ee6f824c376ecbe415d4128407bbf3da,1
5772,0.8768873403019745,755,fe3ff77fbfffefc7efffe7efeffdcffafefd77ff6b67dfd7effbcffefffbbbffffdffffffdffffdfffffffebfffffdf3f3bfffbdffffffef0fffeffff4f76fffdfffffffe6f7ff7ffdff7fffffdf7ffeddffffffef7deffdfbfdffffffbde6effffdfdf8ffffaefef6dfef1d,0.07549361207897798,19d08832e5d2d7258c197bd9cb8ced397afaa1466cfc9e68edaacb71ba43fcae,372524c607041426dd47c4f15589cf90ee96a96b180736e4c897b2fb0bea9f1b,0.8013937282229965,690,fe37f37f3fddcfc78f3fe5ef6ef9cf7afcdd63ff2b67dfd7effbcffafdd3bbefdfdbfbfffdbfffdffffbffebfff7f9d3f39bffbdeffdff670fffeffff4d56ffedffefffee6f5fd7ffdfb7dfdff9f7ffedd7ffffdef7deffdebfd7fff9bbde6ebf7ddfdf8fbdfa6fef6dfef11,0.1279591631895155,repair calibration labels,4,1.1602787456445993,per_platform_qat,280,592f58374440e781215157dce2d2cf3eb1a975f8677d7806d6fb56246ee032f6,108928
8119,0.19396051103368175,167,c0422029c208a080000010430020a4001c0000804224a00182800400002685020601704948a02000046110024000200204237000281040000845063006108610002a08490000140210001490b00d08801832005189145131810104a890880221148012000246001000070813,0.012775842044134705,466296e5d76aa2de17e1ce61c229a702e8496cf3e76b31a52b3e44e8d72a3ed5,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0.18118466898954705,156,c0422029c208a080000000430020a400180000804224a00182800400002685020601700948a02000006100024000200204237000281040000845063006100610002a08490000140210001410b00d08801832005189141130810100a880880221148012000246001000070813,0.8077314635580218,none,4,1.075493612078978,no_repair,0,,0
8119,0.8281068524970964,713,fef7dffbbfdfffd2adcffdd7f3ffefe7f6ffeef6b3ffde7bff7feffd7f57efee73f77fdffebfff2f7ffbffefbf7ff1f7fe37ffe7effdf2e9abefbeaef6fdfebffbffff77f7fd7dbafd77ffffe5df5dfffff3bc3cefff7fdff1ff7dfe7bffffddf7befdf5fffff6bfffdfff13,0.0824622531939605,03e0b69453dbcad6ec4a991212ae79f86e78140e85b2afbdc4104185f48d10ed,8cc32a6f3801f4fdf7aac2b7a3e69c3fd644e18783d937602ce27345f83db184,0.7456445993031359,642,feb5d7fbbfd7ffd22dcf7dd7f3f9efa6f6ffeef6b3bfde7aff76ef797b57e7ee73e57edf3ebfff2f7f3bffefbf6fb1e5fe37f3476ffdd2e9a1efbeaef6bd76bf49ffff77f6f57dbafd719fffe5df59ffff739c1c6fef6fdfe1fd5cfe3a7ffeddf1befdf5fff6f6bffedfff11,0.177284524167993,none,4,1.2020905923344947,certificate_directed,280,33ed26c3b14f936052dc181b47010c311823a8db77791ab68c8a69557081952c,640
8119,0.8455284552845529,728,fcf7dffbaf7ffff3576fffcff76afffbfeffbefe3b7fdf37fff2efffffffcfef72f3ffffffffff7f7f7fffebbf7ff3f7fe3bffcfef7ffbfb3faffefef4ff6effff9fff76fff57febfdf7bfffeddfffffff7bbc5cffff6f9df9fdfffe3ffff8fffbfdfdf5ffff7eeffbdfdf11,0.0987224157955866,1a2d777ca79fa70bf0076a71fb42bf05e05a9e4d76e42632cb890482fedc6ced,2d5bd12cf48f73628e7041ca82bdeb7b8b5f2744a6fad3320ba812c9d799ece0,0.7468060394889663,643,bcd7dffaa77fffc2066fe947f368fff3f4ffaefe3b7fde14ff72edfd7fdfcfee72f3ff7f7fbffb6f7f7bffebaf7b73d5fe3bff4fef5df9b93baffefeb4f56cbfdd9eff66fe557febddf73ffbeddf7bfffd73bc5c7fef6f9df1ddfdf63ffff8fdf3bdf5f5ebdf72eddbdfdf11,0.16392079264707993,none,4,1.1986062717770034,logit_only,280,a7fcfc87201772d81fdbf913231776a18fc0e42dcdfec90bd84cb5386b985a14,640
8119,0.24274099883855982,209,f404273a8441800200000040282866024c4403e30224301106480c080012000a4480500488a4b0040120164005422a0018202240021060e800460a208680821008240c57022040e2484197a1004848c2084284519c34101100074018228582e5130401800008009510458917,0.06504065040650406,5d223ed64bf97677df408a5d51c348e68a22d0fa85f0f0c28047c81d973ead8b,283a2b8bab99a02111798b4fee7297e355e20c80058bd89900271c9d562c0a6e,0.17770034843205576,153,f404252a8041800000000040282826004c0401e202242010064000080000000a0000500408a43004012012000040280008202240021000c800460a208600801008240457022040224841148000084882004284519c14001100064008228182e1010401000008009410458113,0.7512940737872987,none,4,1.4332171893147503,global_threshold,0,eb793ce3354f595f478a296736cf267486c800048b83bf89f122356b4ccf7ce9,1
8119,0.851335656213705,733,fff7f7ff7fddeff6fd8ff7e3fafbffeef8ffe6ff7bffffd5fffeef7dfef7f9efffdffbff7cbdffefff7ddffffff7b1f1ffbbffedff7fffa39fdffffef6ff6ebfffbeff7f7ff57fbbfde77ffffd5f6dfff9ffbe5defff7dfff3fffdfaf3bffffdffdef3f4ffdffffffbdfff1b,0.06271777003484325,0177a9978acfe978d5b161385a2be2161632d532b28d243eb202a3d440d35130,0543dbab148965c17a96fd28a2d6c7b9265abff7b3b6b5594cbbefd3cf809e60,0.7886178861788617,679,ffe7f7fe3f5defd6fd0ff3e2faf9efeef0dd66ff3b7fefd5effaef7dfef3f9effedffbff7cbd7fefff79dffffff7b1f1ff3bffedef7ffba38fdfafeef67d6ebffdbeff767ff57fb3fde77dfffd5f4dfee977b61def7f65ffe3ffddfaf3bfffddf7def3e4dfdffefffbdfff1b,0.14741687099410672,repair calibration labels,4,1.1544715447154472,per_platform_qat,280,fa9a38b9f2e056741c5f3e53f51b21d6dcade630fe61262c7f5b12710aa6155f,108928
