seed,exact_family_agreement_fraction,exact_seconds,horizon,median_reference_margin,model_condition,model_hash,observed_unsound_certificates,p10_reference_margin,positive_reference_margin_fraction,relaxation_gap,samples,static_certified_fraction,static_seconds
3141,0.37109375,0.9393654998857528,40,3.556711435317993,trained_recurrent,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,0,0.8143131732940674,1.0,0.0,256,0.37109375,1.2191612999886274
3141,0.37109375,1.1696838999632746,50,3.556711435317993,trained_recurrent,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,0,0.8143131732940674,1.0,0.0,256,0.37109375,1.3951516000088304
3141,0.68359375,0.2509306001011282,10,4.015340805053711,zero_recurrence,f09e951d6b7440d3902957b7ebac034757d14a17475fb7065d8036a53028acb9,0,0.8295760154724121,1.0,0.0,256,0.68359375,0.22543179988861084
3141,0.88671875,0.4752444999758154,20,6.276980400085449,zero_recurrence,f09e951d6b7440d3902957b7ebac034757d14a17475fb7065d8036a53028acb9,0,1.4165358543395996,1.0,0.0,256,0.88671875,0.4112857999280095
3141,0.9296875,0.7280762000009418,30,6.373610496520996,zero_recurrence,f09e951d6b7440d3902957b7ebac034757d14a17475fb7065d8036a53028acb9,0,1.3967480659484863,1.0,0.0,256,0.9296875,0.6408680998720229
3141,0.9296875,0.9286713998299092,40,6.354372024536133,zero_recurrence,f09e951d6b7440d3902957b7ebac034757d14a17475fb7065d8036a53028acb9,0,1.4260716438293457,1.0,0.0,256,0.9296875,0.8277286998927593
3141,0.9296875,1.196030299877748,50,6.354372024536133,zero_recurrence,f09e951d6b7440d3902957b7ebac034757d14a17475fb7065d8036a53028acb9,0,1.4260716438293457,1.0,0.0,256,0.9296875,1.0304684999864548
5772,0.2734375,0.2415077001787722,10,1.8935985565185547,trained_recurrent,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0,0.20067667961120605,1.0,0.0,256,0.2734375,0.40090740006417036
5772,0.3359375,0.4718119997996837,20,3.137324810028076,trained_recurrent,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0,0.669166088104248,1.0,0.0,256,0.3359375,0.5932235999498516
5772,0.39453125,0.7005691002123058,30,3.727792263031006,trained_recurrent,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0,0.7284793853759766,1.0,0.0,256,0.39453125,0.8889798999298364
5772,0.39453125,0.957224200014025,40,3.7133138179779053,trained_recurrent,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0,0.7569642066955566,1.0,0.0,256,0.39453125,1.1575137998443097
5772,0.390625,1.1718359000515193,50,3.7133138179779053,trained_recurrent,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0,0.7569642066955566,1.0,0.0,256,0.390625,1.43668569996953
5772,0.6484375,0.25524870003573596,10,2.9332151412963867,zero_recurrence,6e017881fa91955069993d6457bf0f1665dd559ff5af8a6114ed16e18da8a5a2,0,0.4979579448699951,1.0,0.0,256,0.6484375,0.24016800010576844
5772,0.78515625,0.480661999899894,20,3.4921112060546875,zero_recurrence,6e017881fa91955069993d6457bf0f1665dd559ff5af8a6114ed16e18da8a5a2,0,0.6594095230102539,1.0,0.0,256,0.78515625,0.4135181000456214
5772,0.859375,0.7038992000743747,30,3.804032802581787,zero_recurrence,6e017881fa91955069993d6457bf0f1665dd559ff5af8a6114ed16e18da8a5a2,0,0.7831439971923828,1.0,0.0,256,0.859375,0.6288427000399679
5772,0.86328125,0.935934399953112,40,3.842061758041382,zero_recurrence,6e017881fa91955069993d6457bf0f1665dd559ff5af8a6114ed16e18da8a5a2,0,0.7326993942260742,1.0,0.0,256,0.86328125,0.8058784001041204
5772,0.86328125,1.19497529999353,50,3.842061758041382,zero_recurrence,6e017881fa91955069993d6457bf0f1665dd559ff5af8a6114ed16e18da8a5a2,0,0.7326993942260742,1.0,0.0,256,0.86328125,1.0107285000849515
8119,0.3046875,0.24770369986072183,10,1.6331229209899902,trained_recurrent,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0,0.3827061057090759,0.99609375,0.00390625,256,0.30078125,0.4079448999837041
8119,0.32421875,0.4714862001128495,20,3.469757080078125,trained_recurrent,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0,0.5612714290618896,1.0,0.0,256,0.32421875,0.5925085998605937
8119,0.38671875,0.6955399999860674,30,3.8247735500335693,trained_recurrent,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0,0.6173105239868164,1.0,0.0,256,0.38671875,0.8744604999665171
8119,0.38671875,0.9311947000678629,40,3.687028408050537,trained_recurrent,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0,0.6173105239868164,1.0,0.0,256,0.38671875,1.2367644999176264
8119,0.38671875,1.157023600069806,50,3.687028408050537,trained_recurrent,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0,0.6173105239868164,1.0,0.0,256,0.38671875,1.4149261999409646
8119,0.66796875,0.25322589999996126,10,4.303934097290039,zero_recurrence,6c6c8f951c4ea04b2b0d0ba72e5b8e0d49ee2f5887da02c83775670f9a495c79,0,0.4546089768409729,0.99609375,0.00390625,256,0.6640625,0.23593719978816807
8119,0.8359375,0.4852390999440104,20,6.718355178833008,zero_recurrence,6c6c8f951c4ea04b2b0d0ba72e5b8e0d49ee2f5887da02c83775670f9a495c79,0,1.4266242980957031,1.0,0.0,256,0.8359375,0.4172640999313444
8119,0.859375,0.6997849999461323,30,6.704867362976074,zero_recurrence,6c6c8f951c4ea04b2b0d0ba72e5b8e0d49ee2f5887da02c83775670f9a495c79,0,1.4489632844924927,1.0,0.0,256,0.859375,0.637446700129658
8119,0.8671875,0.9327985998243093,40,6.6191511154174805,zero_recurrence,6c6c8f951c4ea04b2b0d0ba72e5b8e0d49ee2f5887da02c83775670f9a495c79,0,1.4489632844924927,1.0,0.0,256,0.8671875,0.8365929999854416
8119,0.8671875,1.1810401000548154,50,6.6191511154174805,zero_recurrence,6c6c8f951c4ea04b2b0d0ba72e5b8e0d49ee2f5887da02c83775670f9a495c79,0,1.4489632844924927,1.0,0.0,256,0.8671875,1.006361700128764
