seed,box_hash,certified_fraction,certified_inputs,relative_radius,samples,seconds,varied_axis
3141,d721fbd6c19b4661cfbb643cdb179823d734e0f3701efd7b81291b9f6de315f2,0.013937282229965157,12,0.0001,861,0.574148999992758,threshold
3141,226dc84e0cdf2fc914685ad31d7a26f5131a383b656fae608f89cddcbf9e62cb,0.0,0,0.001,861,0.593542099930346,threshold
3141,eeee402f488867a5e705759423eeed2357d887cf5a67b77c9bf0265d256c70c9,0.0,0,0.01,861,0.5601097999606282,threshold
3141,3ed071a748880cef13f9191f8e314695b9956e428b0045cc00fbd9250ec338f9,0.8664343786295006,746,1e-06,861,0.5630183999892324,joint
3141,f687448bb660790577e3153a7007fa60de8fba14827a9df9f9d4de15f2d9690c,0.4808362369337979,414,1e-05,861,0.5416619000025094,joint
3141,e82fc029a81182fd43da6b2bbfbd6471e8db3f00164a4410125326f02074175a,0.0,0,0.0001,861,0.5586725999601185,joint
3141,b22735a0eec55caffc70f733b8ed8f5c2d5e8c39d909695f4fa256f250cd0b9e,0.0,0,0.001,861,0.5419831001199782,joint
3141,7fe1103701710ba7a1b10c9029c5d2d3d396577e2f121fc7e79a80a27f289ce0,0.0,0,0.01,861,0.5456160998437554,joint
5772,066c5d236806a1cc3848ff7f23746076c05ed7e67569f39d0ed96d178a5dff90,0.943089430894309,812,1e-06,861,0.7565172000322491,timestep
5772,195e564f4786b99558f2af2c82da20e5c4cf08c3b08d6f0dac9bd45b2fd941d6,0.6376306620209059,549,1e-05,861,0.7453054999932647,timestep
5772,e6fc43d9ae1976b8b54da7d017c4d7ac2320b11275bca0290f206fe5c9a43d9e,0.0,0,0.0001,861,0.6367268001195043,timestep
5772,1395c3d502460c1000f04cdd52fc58058773030a439bfe1cd5f2c0f4dd08306d,0.0,0,0.001,861,0.5540648999158293,timestep
5772,037f0ee97feffd997e1810ffe5db64c5291b361b3fecb6935e935d9b42d4adac,0.0,0,0.01,861,0.5619778998661786,timestep
5772,678681e58f7ea54f369a865d944f02f7554b4bb18ca9c783ce173d901c6ba02b,0.9547038327526133,822,1e-06,861,0.55571259977296,threshold
5772,8c5a448b9e140cf214c51e6524114a2656c0e8f2e17a7d6c16f785b667736e87,0.7200929152148664,620,1e-05,861,0.5400908999145031,threshold
5772,d721fbd6c19b4661cfbb643cdb179823d734e0f3701efd7b81291b9f6de315f2,0.011614401858304297,10,0.0001,861,0.5492269999813288,threshold
5772,226dc84e0cdf2fc914685ad31d7a26f5131a383b656fae608f89cddcbf9e62cb,0.0,0,0.001,861,0.5442846000660211,threshold
5772,eeee402f488867a5e705759423eeed2357d887cf5a67b77c9bf0265d256c70c9,0.0,0,0.01,861,0.5660696998238564,threshold
