seed,condition,semantics_hash,audit_disagreements,audit_samples,audit_disagreement_rate,simultaneous_upper_bound,reference_test_accuracy,target_test_accuracy,accuracy_loss,absolute_accuracy_change,bound_slack_vs_test_change,bound_not_violated
1701,reset_to_value,4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f,213,861,0.24738675958188153,0.28719416380977203,0.7314487632508834,0.6166077738515902,0.11484098939929321,0.11484098939929321,0.17235317441047882,True
1701,exponential_euler,ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3,125,861,0.14518002322880372,0.17865355155691504,0.7314487632508834,0.6859540636042403,0.0454946996466431,0.0454946996466431,0.13315885191027194,True
1701,pre_integration_threshold,2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295,126,861,0.14634146341463414,0.17991005674016403,0.7314487632508834,0.7045053003533569,0.02694346289752647,0.02694346289752647,0.15296659384263755,True
1701,fixed_q8_weights_q16_state,7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815,42,861,0.04878048780487805,0.07090484531487892,0.7314487632508834,0.7221731448763251,0.009275618374558259,0.009275618374558259,0.061629226940320664,True
1701,floor_rounding_saturation,5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6,724,861,0.8408826945412311,0.8716058713446153,0.7314487632508834,0.16210247349823323,0.5693462897526501,0.5693462897526501,0.3022595815919652,True
1701,synaptic_delay_1,506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667,126,861,0.14634146341463414,0.17991005674016403,0.7314487632508834,0.7045053003533569,0.02694346289752647,0.02694346289752647,0.15296659384263755,True
1701,reset_to_value__delay_1,7db1f1b43f697a8550a62fa03faabc574a8c8e0779457f8362c693c43c65c746,298,861,0.34610917537746805,0.3892246014360573,0.7314487632508834,0.5472614840989399,0.18418727915194344,0.18418727915194344,0.20503732228411387,True
1701,exponential__fixed,85beb2135b38887ed846fde0c9bdc141ea76cb8c8feabd3b9a49784502ea3e04,133,861,0.15447154471544716,0.18868740127983064,0.7314487632508834,0.6819787985865724,0.04946996466431097,0.04946996466431097,0.13921743661551966,True
1701,pre_threshold__floor,58e552bb13dd516e74730b6065a295d099b53dbe94a1da89ab9c2392ea3a9fb5,721,861,0.8373983739837398,0.8684224300011876,0.7314487632508834,0.16386925795053003,0.5675795053003534,0.5675795053003534,0.3008429247008342,True
1701,reset__fixed__delay_1,db5728379824e7381402fa8150eec5dfaf014240d64ed841c1cee083492f2047,298,861,0.34610917537746805,0.3892246014360573,0.7314487632508834,0.5437279151943463,0.1877208480565371,0.1877208480565371,0.2015037533795202,True
