seed,exact_family_agreement_fraction,exact_seconds,horizon,median_reference_margin,model_condition,model_hash,observed_unsound_certificates,p10_reference_margin,positive_reference_margin_fraction,relaxation_gap,samples,static_certified_fraction,static_seconds
3141,0.37109375,0.9361888999119401,40,3.556711435317993,trained_recurrent,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,0,0.8143131732940674,1.0,0.20703125,256,0.1640625,1.2208177999127656
3141,0.37109375,1.1762437999714166,50,3.556711435317993,trained_recurrent,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,0,0.8143131732940674,1.0,0.20703125,256,0.1640625,1.4024836998432875
3141,0.68359375,0.24734930018894374,10,4.015340805053711,zero_recurrence,f09e951d6b7440d3902957b7ebac034757d14a17475fb7065d8036a53028acb9,0,0.8295760154724121,1.0,0.24609375,256,0.4375,0.23531420016661286
3141,0.88671875,0.4825554999988526,20,6.276980400085449,zero_recurrence,f09e951d6b7440d3902957b7ebac034757d14a17475fb7065d8036a53028acb9,0,1.4165358543395996,1.0,0.22265625,256,0.6640625,0.42570749996230006
3141,0.9296875,0.7176272999495268,30,6.373610496520996,zero_recurrence,f09e951d6b7440d3902957b7ebac034757d14a17475fb7065d8036a53028acb9,0,1.3967480659484863,1.0,0.22265625,256,0.70703125,0.6183197998907417
3141,0.9296875,0.9842528000008315,40,6.354372024536133,zero_recurrence,f09e951d6b7440d3902957b7ebac034757d14a17475fb7065d8036a53028acb9,0,1.4260716438293457,1.0,0.22265625,256,0.70703125,0.9064754999708384
3141,0.9296875,1.178701600059867,50,6.354372024536133,zero_recurrence,f09e951d6b7440d3902957b7ebac034757d14a17475fb7065d8036a53028acb9,0,1.4260716438293457,1.0,0.22265625,256,0.70703125,1.036939499899745
5772,0.2734375,0.2509635998867452,10,1.8935985565185547,trained_recurrent,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0,0.20067667961120605,1.0,0.203125,256,0.0703125,0.48411240009590983
5772,0.3359375,0.4762513998430222,20,3.137324810028076,trained_recurrent,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0,0.669166088104248,1.0,0.18359375,256,0.15234375,0.625749200116843
5772,0.39453125,0.7122160999570042,30,3.727792263031006,trained_recurrent,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0,0.7284793853759766,1.0,0.20703125,256,0.1875,0.918541599996388
5772,0.39453125,0.9548875999171287,40,3.7133138179779053,trained_recurrent,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0,0.7569642066955566,1.0,0.2109375,256,0.18359375,1.2208288998808712
5772,0.390625,1.1751724001951516,50,3.7133138179779053,trained_recurrent,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0,0.7569642066955566,1.0,0.20703125,256,0.18359375,1.4430630998685956
5772,0.6484375,0.24297080002725124,10,2.9332151412963867,zero_recurrence,6e017881fa91955069993d6457bf0f1665dd559ff5af8a6114ed16e18da8a5a2,0,0.4979579448699951,1.0,0.34765625,256,0.30078125,0.23312680004164577
5772,0.78515625,0.48668559989891946,20,3.4921112060546875,zero_recurrence,6e017881fa91955069993d6457bf0f1665dd559ff5af8a6114ed16e18da8a5a2,0,0.6594095230102539,1.0,0.30078125,256,0.484375,0.4362781001254916
5772,0.859375,0.7229011000599712,30,3.804032802581787,zero_recurrence,6e017881fa91955069993d6457bf0f1665dd559ff5af8a6114ed16e18da8a5a2,0,0.7831439971923828,1.0,0.3359375,256,0.5234375,0.6383325001224875
5772,0.86328125,0.9557662999723107,40,3.842061758041382,zero_recurrence,6e017881fa91955069993d6457bf0f1665dd559ff5af8a6114ed16e18da8a5a2,0,0.7326993942260742,1.0,0.3359375,256,0.52734375,0.8962583001703024
5772,0.86328125,1.205866200150922,50,3.842061758041382,zero_recurrence,6e017881fa91955069993d6457bf0f1665dd559ff5af8a6114ed16e18da8a5a2,0,0.7326993942260742,1.0,0.3359375,256,0.52734375,1.0323362001217902
8119,0.3046875,0.25540170003660023,10,1.6331229209899902,trained_recurrent,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0,0.3827061057090759,0.99609375,0.13671875,256,0.16796875,0.4141844999976456
8119,0.32421875,0.4940940998494625,20,3.469757080078125,trained_recurrent,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0,0.5612714290618896,1.0,0.15234375,256,0.171875,0.708529100054875
8119,0.38671875,0.7037976998835802,30,3.8247735500335693,trained_recurrent,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0,0.6173105239868164,1.0,0.19921875,256,0.1875,0.9080936999525875
8119,0.38671875,0.9368424999993294,40,3.687028408050537,trained_recurrent,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0,0.6173105239868164,1.0,0.19921875,256,0.1875,1.2358077999670058
8119,0.38671875,1.1908893999643624,50,3.687028408050537,trained_recurrent,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,0,0.6173105239868164,1.0,0.19921875,256,0.1875,1.3971166999544948
8119,0.66796875,0.2463889999780804,10,4.303934097290039,zero_recurrence,6c6c8f951c4ea04b2b0d0ba72e5b8e0d49ee2f5887da02c83775670f9a495c79,0,0.4546089768409729,0.99609375,0.25,256,0.41796875,0.2322645999956876
8119,0.8359375,0.5103166999761015,20,6.718355178833008,zero_recurrence,6c6c8f951c4ea04b2b0d0ba72e5b8e0d49ee2f5887da02c83775670f9a495c79,0,1.4266242980957031,1.0,0.1953125,256,0.640625,0.44118320010602474
8119,0.859375,0.7132042001467198,30,6.704867362976074,zero_recurrence,6c6c8f951c4ea04b2b0d0ba72e5b8e0d49ee2f5887da02c83775670f9a495c79,0,1.4489632844924927,1.0,0.203125,256,0.65625,0.6114604999311268
8119,0.8671875,0.9485760000534356,40,6.6191511154174805,zero_recurrence,6c6c8f951c4ea04b2b0d0ba72e5b8e0d49ee2f5887da02c83775670f9a495c79,0,1.4489632844924927,1.0,0.2109375,256,0.65625,0.8964379001408815
8119,0.8671875,1.2025041999295354,50,6.6191511154174805,zero_recurrence,6c6c8f951c4ea04b2b0d0ba72e5b8e0d49ee2f5887da02c83775670f9a495c79,0,1.4489632844924927,1.0,0.2109375,256,0.65625,1.031383200082928
