seed,exact_family_agreement_fraction,exact_family_agreement_inputs,exact_seconds,family,maximum_final_logit_interval_width,median_final_logit_interval_width,member_count,observed_unsound_certificates,p90_final_logit_interval_width,samples,static_certified_fraction,static_certified_inputs,static_seconds
1701,0.7526132404181185,648,0.65652050008066,reset,22.75331073999405,2.323626669240184,2,0,7.935945948772133,861,0.7526132404181185,648,1.1909513999707997
1701,0.8548199767711963,736,0.65314060007222,integration,15.85591834038496,1.3346965192467906,2,0,4.697292003454643,861,0.8548199767711963,736,0.8787948000244796
1701,0.8536585365853658,735,0.6096079000271857,timing,11.512213116278872,1.3805064740590751,2,0,3.6442971389740704,861,0.8536585365853658,735,0.7786200998816639
1701,0.8536585365853658,735,0.6039714999496937,delay,11.512213116278872,1.3805064740590751,2,0,3.6442971389740704,861,0.8536585365853658,735,0.743989400099963
1701,0.38443670150987225,331,3.3153995000757277,full,31.91321355290711,5.319706864480395,16,0,12.636218552768696,861,0.38443670150987225,331,4.098266700049862
1701,0.9512195121951219,819,0.45826940005645156,fixed_nearest,0.0,0.0,1,0,0.0,861,0.9500580720092915,818,0.5986697999760509
1701,0.15911730545876887,137,0.41432889993302524,fixed_floor,0.0,0.0,1,0,0.0,861,0.15911730545876887,137,0.6169292000122368
2718,0.735191637630662,633,0.614104500040412,reset,25.55326763400808,2.5134377613430843,2,0,8.02851135271194,861,0.735191637630662,633,1.1158632999286056
2718,0.8281068524970964,713,0.6262607998214662,integration,12.847983184154145,1.404706451576203,2,0,4.647934406343848,861,0.8281068524970964,713,0.9454340001102537
2718,0.7816492450638792,673,0.6044020999688655,timing,13.769273520447314,1.8736091250320897,2,0,4.783519641647581,861,0.7816492450638792,673,0.7843663000967354
2718,0.7816492450638792,673,0.5873354999348521,delay,13.769273520447314,1.8736091250320897,2,0,4.783519641647581,861,0.7816492450638792,673,0.7464095999021083
2718,0.3426248548199768,295,3.2716424998361617,full,34.99729266948998,6.465224824452889,16,0,14.097871567370023,861,0.3426248548199768,295,4.038306700065732
2718,0.9488966318234611,817,0.4445774999912828,fixed_nearest,0.0,0.0,1,0,0.0,861,0.9488966318234611,817,0.590968000004068
2718,0.23925667828106853,206,0.43178520002402365,fixed_floor,0.0,0.0,1,0,0.0,861,0.23925667828106853,206,0.5780673997942358
3141,0.7398373983739838,637,0.6370602000970393,reset,20.75581197720021,2.240165071329102,2,0,6.985097052634229,861,0.7398373983739838,637,1.1032557000871748
3141,0.818815331010453,705,0.6248364001512527,integration,12.89644866809249,1.30993030348327,2,0,4.087257006182336,861,0.818815331010453,705,0.852134000044316
3141,0.8281068524970964,713,0.654385699890554,timing,11.452862728387117,1.3846183957066387,2,0,3.6432273057755085,861,0.8281068524970964,713,0.7654802000615746
3141,0.8281068524970964,713,0.615963299991563,delay,11.452862728387117,1.3846183957066387,2,0,3.6432273057755085,861,0.8281068524970964,713,0.7390479000750929
3141,0.38443670150987225,331,3.3540946999564767,full,29.0796408187598,5.18224030174315,16,0,11.6012140783394,861,0.38443670150987225,331,4.12479510018602
3141,0.9512195121951219,819,0.46030479995533824,fixed_nearest,0.0,0.0,1,0,0.0,861,0.9512195121951219,819,0.5832154999952763
3141,0.24390243902439024,210,0.42996650002896786,fixed_floor,0.0,0.0,1,0,0.0,861,0.24274099883855982,209,0.6142279000487179
5772,0.778164924506388,670,0.63453199993819,reset,18.892529940785607,2.2262921023357194,2,0,6.812233528471553,861,0.778164924506388,670,1.1156943999230862
5772,0.859465737514518,740,0.6282534000929445,integration,12.506063567008823,1.2911574291065335,2,0,3.858107019722229,861,0.859465737514518,740,0.9099089000374079
5772,0.8420441347270615,725,0.6106189000420272,timing,8.86564383766381,1.3040610414245748,2,0,3.4096559836645612,861,0.8420441347270615,725,0.7979572999756783
5772,0.8420441347270615,725,0.6041796000208706,delay,8.86564383766381,1.3040610414245748,2,0,3.4096559836645612,861,0.8420441347270615,725,0.7295979000627995
5772,0.40069686411149824,345,3.3214483000338078,full,25.80043584201485,5.240612071356736,16,0,11.077708657435142,861,0.40069686411149824,345,4.023489499930292
5772,0.9581881533101045,825,0.43276310013607144,fixed_nearest,0.0,0.0,1,0,0.0,861,0.9570267131242741,824,0.5937302000820637
5772,0.16260162601626016,140,0.44457040005363524,fixed_floor,0.0,0.0,1,0,0.0,861,0.16144018583042974,139,0.597334599820897
8119,0.8037166085946573,692,0.6535329001490027,reset,27.42283741524443,2.48769894259749,2,0,7.959675510769013,861,0.8037166085946573,692,1.1579642998985946
8119,0.8792102206736353,757,0.6168424000497907,integration,13.14294690443785,1.3899257997982204,2,0,4.507672105380334,861,0.8792102206736353,757,0.9391320999711752
8119,0.8443670150987224,727,0.5937065999023616,timing,13.037024140590802,1.524022746598348,2,0,4.204293446789961,861,0.8443670150987224,727,0.7849976001307368
8119,0.8443670150987224,727,0.6158203999511898,delay,13.037024140590802,1.524022746598348,2,0,4.204293446789961,861,0.8443670150987224,727,0.732934599975124
8119,0.42392566782810687,365,3.2993143999483436,full,36.91864430997521,5.948547337495256,16,0,13.56710814544931,861,0.42392566782810687,365,4.101984899956733
8119,0.9407665505226481,810,0.44055750011466444,fixed_nearest,0.0,0.0,1,0,0.0,861,0.9407665505226481,810,0.6306666999589652
8119,0.19396051103368175,167,0.4302008000668138,fixed_floor,0.0,0.0,1,0,0.0,861,0.19396051103368175,167,0.5797809001524001
