seed,method,condition,before_accuracy_loss,after_accuracy_loss,after_absolute_accuracy_change,accuracy_recovery_fraction,after_audit_disagreement_rate,after_certificate_upper_bound,after_bound_slack,bound_not_violated,calibration_samples,audit_samples,label_budget,optimization_steps,trainable_parameters,elapsed_seconds,confidence_alpha,report_code_revision
1701,certificate_directed,floor_rounding_saturation,0.23863636363636365,0.022727272727272707,0.022727272727272707,0.9047619047619049,0.09615384615384616,0.19462497745646073,0.17189770472918803,True,97,104,0,280,960,83.10713499999838,0.005,review-revision-016
1701,logit_only,floor_rounding_saturation,0.23863636363636365,0.053030303030303094,0.053030303030303094,0.7777777777777776,0.057692307692307696,0.14370151345852838,0.09067121042822529,True,97,104,0,280,960,84.44017819990404,0.005,review-revision-004
1701,global_threshold,floor_rounding_saturation,0.23863636363636365,0.06818181818181823,0.06818181818181823,0.7142857142857141,0.125,0.23057375117892237,0.16239193299710414,True,97,104,0,0,1,15.304913300089538,0.005,review-revision-004
1701,per_platform_qat,floor_rounding_saturation,0.23863636363636365,-0.018939393939393923,0.018939393939393923,1.0793650793650793,0.08653846153846154,0.1822720716826864,0.16333267774329246,True,97,104,97,280,678560,90.29116680007428,0.005,review-revision-010
1701,supervised_target_retraining,floor_rounding_saturation,0.23863636363636365,0.3295454545454546,0.3295454545454546,-0.38095238095238104,0.46153846153846156,0.5915851797621334,0.26203972521667884,True,97,104,97,280,678560,637.9743359999993,0.005,review-revision-014
2718,certificate_directed,floor_rounding_saturation,0.31818181818181823,-0.011363636363636354,0.011363636363636354,1.0357142857142856,0.11538461538461539,0.2187560268416519,0.20739239047801555,True,97,104,0,280,960,78.79667629998585,0.005,review-revision-016
2718,logit_only,floor_rounding_saturation,0.31818181818181823,0.015151515151515138,0.015151515151515138,0.9523809523809524,0.08653846153846154,0.1822720716826864,0.16712055653117125,True,97,104,0,280,960,83.94350299984217,0.005,review-revision-004
2718,global_threshold,floor_rounding_saturation,0.31818181818181823,0.08712121212121215,0.08712121212121215,0.7261904761904762,0.3269230769230769,0.45615902355981186,0.3690378114385997,True,97,104,0,0,1,13.609827399952337,0.005,review-revision-004
2718,per_platform_qat,floor_rounding_saturation,0.31818181818181823,-0.045454545454545414,0.045454545454545414,1.1428571428571428,0.15384615384615385,0.26520561909248597,0.21975107363794055,True,97,104,97,280,678560,86.19117390015163,0.005,review-revision-010
2718,supervised_target_retraining,floor_rounding_saturation,0.31818181818181823,0.2992424242424243,0.2992424242424243,0.05952380952380946,0.4519230769230769,0.5822185962230508,0.2829761719806265,True,97,104,97,280,678560,555.5239956000005,0.005,review-revision-014
3141,certificate_directed,floor_rounding_saturation,0.49242424242424243,0.022727272727272707,0.022727272727272707,0.9538461538461539,0.07692307692307693,0.16969277457811732,0.14696550185084462,True,97,104,0,280,960,80.20295249999617,0.005,review-revision-016
3141,logit_only,floor_rounding_saturation,0.49242424242424243,0.030303030303030276,0.030303030303030276,0.9384615384615386,0.057692307692307696,0.14370151345852838,0.11339848315549811,True,97,104,0,280,960,86.64395570009947,0.005,review-revision-004
3141,global_threshold,floor_rounding_saturation,0.49242424242424243,0.16287878787878785,0.16287878787878785,0.6692307692307693,0.19230769230769232,0.3098161049613849,0.14693731708259705,True,97,104,0,0,1,13.810571499867365,0.005,review-revision-004
3141,per_platform_qat,floor_rounding_saturation,0.49242424242424243,0.037878787878787845,0.037878787878787845,0.9230769230769231,0.11538461538461539,0.2187560268416519,0.18087723896286406,True,97,104,97,280,678560,83.72315170010552,0.005,review-revision-010
3141,supervised_target_retraining,floor_rounding_saturation,0.49242424242424243,0.3560606060606061,0.3560606060606061,0.2769230769230769,0.47115384615384615,0.6009064337057661,0.24484582764516005,True,97,104,97,280,678560,532.2800444000022,0.005,review-revision-014
5772,certificate_directed,floor_rounding_saturation,0.46590909090909094,0.018939393939393923,0.018939393939393923,0.959349593495935,0.057692307692307696,0.14370151345852838,0.12476211951913446,True,97,104,0,280,960,76.9839542000118,0.005,review-revision-016
5772,logit_only,floor_rounding_saturation,0.46590909090909094,0.015151515151515138,0.015151515151515138,0.967479674796748,0.038461538461538464,0.11618566059441146,0.10103414544289632,True,97,104,0,280,960,84.38837240007706,0.005,review-revision-004
5772,global_threshold,floor_rounding_saturation,0.46590909090909094,0.04924242424242431,0.04924242424242431,0.8943089430894308,0.20192307692307693,0.32073424509655857,0.27149182085413426,True,97,104,0,0,1,14.983079799916595,0.005,review-revision-004
5772,per_platform_qat,floor_rounding_saturation,0.46590909090909094,0.037878787878787845,0.037878787878787845,0.91869918699187,0.125,0.23057375117892237,0.19269496330013453,True,97,104,97,280,678560,83.81518939998932,0.005,review-revision-010
5772,supervised_target_retraining,floor_rounding_saturation,0.46590909090909094,0.2992424242424243,0.2992424242424243,0.35772357723577225,0.5192307692307693,0.6468363230199807,0.3475938987775564,True,97,104,97,280,678560,533.7344119999907,0.005,review-revision-014
8119,certificate_directed,floor_rounding_saturation,0.31439393939393945,0.03409090909090917,0.03409090909090917,0.8915662650602407,0.057692307692307696,0.14370151345852838,0.10961060436761921,True,97,104,0,280,960,78.92769789999875,0.005,review-revision-016
8119,logit_only,floor_rounding_saturation,0.31439393939393945,0.053030303030303094,0.053030303030303094,0.8313253012048191,0.07692307692307693,0.16969277457811732,0.11666247154781423,True,97,104,0,280,960,86.60250089992769,0.005,review-revision-004
8119,global_threshold,floor_rounding_saturation,0.31439393939393945,0.08333333333333337,0.08333333333333337,0.7349397590361445,0.2403846153846154,0.36360615115312245,0.2802728178197891,True,97,104,0,0,1,13.807902400149032,0.005,review-revision-004
8119,per_platform_qat,floor_rounding_saturation,0.31439393939393945,0.026515151515151603,0.026515151515151603,0.9156626506024094,0.11538461538461539,0.2187560268416519,0.1922408753265003,True,97,104,97,280,678560,86.96268999995664,0.005,review-revision-010
8119,supervised_target_retraining,floor_rounding_saturation,0.31439393939393945,0.31818181818181823,0.31818181818181823,-0.012048192771084324,0.4423076923076923,0.57280648085169,0.2546246626698717,True,97,104,97,280,678560,531.9909196999943,0.005,review-revision-014
