seed,method,condition,before_accuracy_loss,after_accuracy_loss,after_absolute_accuracy_change,accuracy_recovery_fraction,after_audit_disagreement_rate,after_certificate_upper_bound,after_bound_slack,bound_not_violated,calibration_samples,audit_samples,label_budget,optimization_steps,trainable_parameters,elapsed_seconds,confidence_alpha,source_model_hash,repaired_model_hash,report_code_revision
3141,global_threshold,floor_rounding_saturation,0.49242424242424243,0.16287878787878785,0.16287878787878785,0.6692307692307693,0.19230769230769232,0.3098161049613849,0.14693731708259705,True,97,104,0,0,1,13.810571499867365,0.005,b29a1e395b5e196a9ca81043832b8090e18f281bd9d41e0885e636291cfdf489,b29a1e395b5e196a9ca81043832b8090e18f281bd9d41e0885e636291cfdf489,29dcffe206f9a7a471c53f24961b10e77f8e48a4
3141,per_platform_qat,floor_rounding_saturation,0.49242424242424243,0.037878787878787845,0.037878787878787845,0.9230769230769231,0.11538461538461539,0.2187560268416519,0.18087723896286406,True,97,104,97,280,678560,83.72315170010552,0.005,b29a1e395b5e196a9ca81043832b8090e18f281bd9d41e0885e636291cfdf489,0e2b79f6188b9c28fd1ad92fe5a5b672166f1d588a1eebbed1be2cc292249ccb,7d46d1796a313872795774d099ab0a8c84d37357
3141,supervised_target_retraining,floor_rounding_saturation,0.49242424242424243,0.3560606060606061,0.3560606060606061,0.2769230769230769,0.47115384615384615,0.6009064337057661,0.24484582764516005,True,97,104,97,280,678560,532.2800444000022,0.005,b29a1e395b5e196a9ca81043832b8090e18f281bd9d41e0885e636291cfdf489,1300622318b7977fc51ad21ae3321c6155f246ad7a1cd1492871aee3686cdc86,c837ab82d7de0682be859a122d43e3b615b290a0
5772,certificate_directed,floor_rounding_saturation,0.46590909090909094,0.04924242424242431,0.04924242424242431,0.8943089430894308,0.09615384615384616,0.19462497745646073,0.14538255321403643,True,97,104,0,280,960,84.0411718999967,0.005,d5499d40f53f6284b6d02e8f04b0ac8dfa4ee3a1c4d44a708813d6b9eddd4128,ddb77b41d91ebd864433631b32e22110ad76318c4b8913a7709a805a4b5fc320,29dcffe206f9a7a471c53f24961b10e77f8e48a4
5772,logit_only,floor_rounding_saturation,0.46590909090909094,0.015151515151515138,0.015151515151515138,0.967479674796748,0.038461538461538464,0.11618566059441146,0.10103414544289632,True,97,104,0,280,960,84.38837240007706,0.005,d5499d40f53f6284b6d02e8f04b0ac8dfa4ee3a1c4d44a708813d6b9eddd4128,3d1675f749b8a5b87a27aa3aa1912a7aa63bd62df9cc5da8ad52921c0c22dc7d,29dcffe206f9a7a471c53f24961b10e77f8e48a4
5772,global_threshold,floor_rounding_saturation,0.46590909090909094,0.04924242424242431,0.04924242424242431,0.8943089430894308,0.20192307692307693,0.32073424509655857,0.27149182085413426,True,97,104,0,0,1,14.983079799916595,0.005,d5499d40f53f6284b6d02e8f04b0ac8dfa4ee3a1c4d44a708813d6b9eddd4128,d5499d40f53f6284b6d02e8f04b0ac8dfa4ee3a1c4d44a708813d6b9eddd4128,29dcffe206f9a7a471c53f24961b10e77f8e48a4
5772,per_platform_qat,floor_rounding_saturation,0.46590909090909094,0.037878787878787845,0.037878787878787845,0.91869918699187,0.125,0.23057375117892237,0.19269496330013453,True,97,104,97,280,678560,83.81518939998932,0.005,d5499d40f53f6284b6d02e8f04b0ac8dfa4ee3a1c4d44a708813d6b9eddd4128,3cc0c1ea2e9a1c5ab053ab0a52e31f272a1dd0e4b23ab225b4c92114103a1142,7d46d1796a313872795774d099ab0a8c84d37357
5772,supervised_target_retraining,floor_rounding_saturation,0.46590909090909094,0.2992424242424243,0.2992424242424243,0.35772357723577225,0.5192307692307693,0.6468363230199807,0.3475938987775564,True,97,104,97,280,678560,533.7344119999907,0.005,d5499d40f53f6284b6d02e8f04b0ac8dfa4ee3a1c4d44a708813d6b9eddd4128,b9101c50ef51941cda470b2911c94a574842882e89ef5003b181eae013e2fd2d,c837ab82d7de0682be859a122d43e3b615b290a0
8119,certificate_directed,floor_rounding_saturation,0.31439393939393945,0.06439393939393945,0.06439393939393945,0.7951807228915662,0.1346153846153846,0.24224677666365424,0.1778528372697148,True,97,104,0,280,960,86.0539430999197,0.005,465b9c93bcde51de4b1d271f586e575276459fc5ca84ae45f30dd2f8130acd52,05beb8b46dd668bae49c5a7276f548d6fcb7493c68bba390b46dd0d06a43fe8c,29dcffe206f9a7a471c53f24961b10e77f8e48a4
8119,logit_only,floor_rounding_saturation,0.31439393939393945,0.053030303030303094,0.053030303030303094,0.8313253012048191,0.07692307692307693,0.16969277457811732,0.11666247154781423,True,97,104,0,280,960,86.60250089992769,0.005,465b9c93bcde51de4b1d271f586e575276459fc5ca84ae45f30dd2f8130acd52,56e510c318d1f36ea0cf7e86f7562873bc22630f81ed672829b7f831ef038f5a,29dcffe206f9a7a471c53f24961b10e77f8e48a4
8119,global_threshold,floor_rounding_saturation,0.31439393939393945,0.08333333333333337,0.08333333333333337,0.7349397590361445,0.2403846153846154,0.36360615115312245,0.2802728178197891,True,97,104,0,0,1,13.807902400149032,0.005,465b9c93bcde51de4b1d271f586e575276459fc5ca84ae45f30dd2f8130acd52,465b9c93bcde51de4b1d271f586e575276459fc5ca84ae45f30dd2f8130acd52,29dcffe206f9a7a471c53f24961b10e77f8e48a4
8119,per_platform_qat,floor_rounding_saturation,0.31439393939393945,0.026515151515151603,0.026515151515151603,0.9156626506024094,0.11538461538461539,0.2187560268416519,0.1922408753265003,True,97,104,97,280,678560,86.96268999995664,0.005,465b9c93bcde51de4b1d271f586e575276459fc5ca84ae45f30dd2f8130acd52,fd23ec31a2f769ec1837142ae905f1741452aed4e871ea09d3d70bf3de4ffc65,7d46d1796a313872795774d099ab0a8c84d37357
8119,supervised_target_retraining,floor_rounding_saturation,0.31439393939393945,0.31818181818181823,0.31818181818181823,-0.012048192771084324,0.4423076923076923,0.57280648085169,0.2546246626698717,True,97,104,97,280,678560,531.9909196999943,0.005,465b9c93bcde51de4b1d271f586e575276459fc5ca84ae45f30dd2f8130acd52,52ce79083b791cf74b07390c7fca33571e5fd524501fad8ef30deb728dfd690a,c837ab82d7de0682be859a122d43e3b615b290a0
