seed,audit_samples,certified_inputs,certified_fraction,falsified_inputs,unknown_inputs,elapsed_seconds
1701,104,76,0.7307692307692307,28,0,18.8906219000055
2718,104,63,0.6057692307692307,41,0,10.226494200003799
3141,104,47,0.4519230769230769,57,0,9.062358600000152
5772,104,48,0.46153846153846156,56,0,9.201276199994027
8119,104,66,0.6346153846153846,38,0,8.896735799993621
