seed,audit_samples,certified_inputs,certified_fraction,falsified_inputs,unknown_inputs,elapsed_seconds
1701,6005,5825,0.9700249791840133,180,0,163.375217599998
2718,6005,5868,0.9771856786011657,137,0,194.2018309999985
3141,6005,5882,0.9795170691090758,123,0,166.53854400001
5772,6005,5886,0.9801831806827643,119,0,97.9038647999987
8119,6005,5864,0.9765195670274771,141,0,115.4610498999973
