condition,shd_loss_points,nmnist_loss_points,shd_slack_points,nmnist_slack_points
exponential__fixed,4.0371024734982335,0.09199999999999875,14.977272911280584,1.3693979599617245
exponential_euler,3.745583038869256,0.06799999999999917,14.836299203164877,1.402267134533461
fixed_q8_weights_q16_state,0.25618374558303403,0.012000000000000899,6.631809388502294,0.837916326009953
floor_rounding_saturation,53.621908127208485,4.274,29.771641724900515,3.0676456073654963
pre_integration_threshold,2.3144876325088326,0.0019999999999997797,17.400851442216755,0.1034768339537606
pre_threshold__floor,53.53356890459364,4.274,30.080369161100435,3.0676456073654963
reset__fixed__delay_1,16.19257950530035,0.34600000000000186,24.442110241050123,1.1982075657532292
reset_to_value,9.876325088339222,0.2880000000000016,17.86096254582926,1.1212480224129917
reset_to_value__delay_1,16.077738515901054,0.2880000000000016,23.937385678882386,1.1328857662239857
synaptic_delay_1,2.3144876325088326,0.0019999999999997797,17.400851442216755,0.1034768339537606
