benchmark,seed,condition,samples,disagreement_rate,reference_favoring_accuracy_change,target_favoring_accuracy_change,reference_favoring_labels_hash,target_favoring_labels_hash,reference_witness_attains_bound,target_witness_attains_bound
SHD,2718,synaptic_delay_1,861,0.2183507549361208,0.21835075493612077,0.21835075493612077,5c6e091abade225de4d1c1aae5631f533078a1c872c1db46361506e6932f34ff,bf95b48bb36a66d2f3e6898d16f5c6ae27337b5eb2c58c7c8512cb35ce622fab,True,True
SHD,3141,exponential__fixed,861,0.17770034843205576,0.17770034843205573,0.17770034843205573,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,79be7dcd01c4f695ffcf4f5d4d98933e4a1ed48498bda368002f696e378627af,True,True
SHD,3141,exponential_euler,861,0.18118466898954705,0.181184668989547,0.181184668989547,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,187513fa60baac1e0ccabfcad6e9b79de8b2406da57fcd52a5249408086d4726,True,True
SHD,3141,fixed_q8_weights_q16_state,861,0.04878048780487805,0.04878048780487809,0.04878048780487809,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,4130f61b4dccec49698e374c96ad13455c98437b05d41f013014d177c8011e50,True,True
SHD,3141,floor_rounding_saturation,861,0.7560975609756098,0.7560975609756098,0.7560975609756098,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,f2595d281c5cacd69d405167146fd71ccc09592022d24c12247ea3deb1dc36db,True,True
SHD,3141,pre_integration_threshold,861,0.1718931475029036,0.17189314750290363,0.17189314750290363,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,96160ac7ea1c1aee257464cc20c1ad97a8601ecbdb39822eaecc3a9cac6f14c3,True,True
SHD,3141,pre_threshold__floor,861,0.759581881533101,0.759581881533101,0.759581881533101,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,d46cd0dc1fe1cb83030ea344de1919f01b46c30cfbe54700f3b79b525e56d325,True,True
SHD,3141,reset__fixed__delay_1,861,0.39372822299651566,0.39372822299651566,0.39372822299651566,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,cc6cd428f21bf44f593d3ca5b09bcfbb27907b65a636665b251b52d8e1ce577d,True,True
SHD,3141,reset_to_value,861,0.2601626016260163,0.26016260162601623,0.26016260162601623,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,079eb08ccebfd4aec7b990cdf86bc638184318fab832e65640067735dee37ba4,True,True
SHD,3141,reset_to_value__delay_1,861,0.38443670150987225,0.3844367015098722,0.3844367015098722,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,252fffbb70752ced17006ffaa9aaa1681bed3c2969bc48e40a13935fd3eeead7,True,True
SHD,3141,synaptic_delay_1,861,0.1718931475029036,0.17189314750290363,0.17189314750290363,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,96160ac7ea1c1aee257464cc20c1ad97a8601ecbdb39822eaecc3a9cac6f14c3,True,True
SHD,5772,exponential__fixed,861,0.15911730545876887,0.1591173054587689,0.1591173054587689,2ab449cdcb76283ba8044a6e3887bfb3144eec49c2c940cef3794581466e3f1a,5fda5deca3474893e7b3f9a3c733b6f1418455055e4730628fa405dedc2f1f1a,True,True
SHD,5772,exponential_euler,861,0.140534262485482,0.14053426248548195,0.14053426248548195,2ab449cdcb76283ba8044a6e3887bfb3144eec49c2c940cef3794581466e3f1a,f84f10379b1c9183ab0bf351373e26b13885f3ad78496a138b29c1c532613602,True,True
SHD,5772,fixed_q8_weights_q16_state,861,0.041811846689895474,0.04181184668989546,0.04181184668989546,2ab449cdcb76283ba8044a6e3887bfb3144eec49c2c940cef3794581466e3f1a,bc6d43c53c5c682b29466840675a788c1c2caa7ac6af3214548b68f1a48d3d18,True,True
SHD,5772,floor_rounding_saturation,861,0.8373983739837398,0.8373983739837398,0.8373983739837398,2ab449cdcb76283ba8044a6e3887bfb3144eec49c2c940cef3794581466e3f1a,6ce43d76ccefd2ef8318b601dd8819cba7fd84d08987efe0a80da9d7afdf96db,True,True
SHD,5772,pre_integration_threshold,861,0.15795586527293845,0.15795586527293848,0.15795586527293848,2ab449cdcb76283ba8044a6e3887bfb3144eec49c2c940cef3794581466e3f1a,ded0e2814cef58e37eab64cfe3be7277b3de4e41c96a2f22d1dc4c3063b69e2b,True,True
SHD,5772,pre_threshold__floor,861,0.835075493612079,0.835075493612079,0.835075493612079,2ab449cdcb76283ba8044a6e3887bfb3144eec49c2c940cef3794581466e3f1a,683efca85064cdf76c6590c8cf108d55193e7d42c7948b17c00df3d06d830f6f,True,True
SHD,5772,reset__fixed__delay_1,861,0.3426248548199768,0.34262485481997673,0.34262485481997673,2ab449cdcb76283ba8044a6e3887bfb3144eec49c2c940cef3794581466e3f1a,66f82c82dba325fd32e992d7cc235a4c4c6c1573cd04e66d8634ccbb626eadd8,True,True
SHD,5772,reset_to_value,861,0.2218350754936121,0.22183507549361203,0.22183507549361203,2ab449cdcb76283ba8044a6e3887bfb3144eec49c2c940cef3794581466e3f1a,e121ef892d1e375d8f670e587feeaaa05e72e2d99428ab2228229946a23b9beb,True,True
SHD,5772,reset_to_value__delay_1,861,0.3205574912891986,0.32055749128919864,0.32055749128919864,2ab449cdcb76283ba8044a6e3887bfb3144eec49c2c940cef3794581466e3f1a,c6d6e2405013999c587ecbb98666869f64370474c52f9a73188045de98b73d71,True,True
SHD,5772,synaptic_delay_1,861,0.15795586527293845,0.15795586527293848,0.15795586527293848,2ab449cdcb76283ba8044a6e3887bfb3144eec49c2c940cef3794581466e3f1a,ded0e2814cef58e37eab64cfe3be7277b3de4e41c96a2f22d1dc4c3063b69e2b,True,True
SHD,8119,exponential__fixed,861,0.13356562137049943,0.13356562137049943,0.13356562137049943,454dd123f53716da4b72234e8573fc2e8e11bf635fc3153c816688051c0df040,dab9b00f163266af49581486bf05ae41ee79ddf5aa506d5334492c5b26abcb04,True,True
SHD,8119,exponential_euler,861,0.1207897793263647,0.1207897793263647,0.1207897793263647,454dd123f53716da4b72234e8573fc2e8e11bf635fc3153c816688051c0df040,d1e0f16533a99270d2c489e8094fbfcde48382f303906e25db4fa80a4f96bb41,True,True
SHD,8119,fixed_q8_weights_q16_state,861,0.059233449477351915,0.059233449477351874,0.059233449477351874,454dd123f53716da4b72234e8573fc2e8e11bf635fc3153c816688051c0df040,30ec5eb5b5cfc4f4fe9f22de98dde46825227444b5180d9f09975ef702e59089,True,True
SHD,8119,floor_rounding_saturation,861,0.8060394889663183,0.8060394889663183,0.8060394889663183,454dd123f53716da4b72234e8573fc2e8e11bf635fc3153c816688051c0df040,515948539056bf9ef33a765162b10018d0714b45d4543d8a78e2df75e9fbd6b2,True,True
SHD,8119,pre_integration_threshold,861,0.15563298490127758,0.15563298490127764,0.15563298490127764,454dd123f53716da4b72234e8573fc2e8e11bf635fc3153c816688051c0df040,ab0b4dd8601b821ee3596a9bcb73ab0bb73cab32b335774a75af07da1753c028,True,True
SHD,8119,pre_threshold__floor,861,0.8095238095238095,0.8095238095238095,0.8095238095238095,454dd123f53716da4b72234e8573fc2e8e11bf635fc3153c816688051c0df040,6d1182e87f08127a0ef9e30cf374b89af71e16bef3a2aefe4874ac2f6f8fa18e,True,True
SHD,8119,reset__fixed__delay_1,861,0.30313588850174217,0.3031358885017421,0.3031358885017421,454dd123f53716da4b72234e8573fc2e8e11bf635fc3153c816688051c0df040,bb01fa26a8081e03da92fab97e277e5148f9cae9228b0e58516a91c332c49cb8,True,True
SHD,8119,reset_to_value,861,0.19628339140534262,0.19628339140534268,0.19628339140534268,454dd123f53716da4b72234e8573fc2e8e11bf635fc3153c816688051c0df040,8dc66d34a8f89b8f0939c8fe1a0fb52149310a1b8e73dddbe372c9b2e4a9f503,True,True
SHD,8119,reset_to_value__delay_1,861,0.29965156794425085,0.29965156794425085,0.29965156794425085,454dd123f53716da4b72234e8573fc2e8e11bf635fc3153c816688051c0df040,f7ac47bb6846439aaea400b4db4338ec8dec00cb2f8883d5eb8cb86a0d17d710,True,True
SHD,8119,synaptic_delay_1,861,0.15563298490127758,0.15563298490127764,0.15563298490127764,454dd123f53716da4b72234e8573fc2e8e11bf635fc3153c816688051c0df040,ab0b4dd8601b821ee3596a9bcb73ab0bb73cab32b335774a75af07da1753c028,True,True
N-MNIST,1701,exponential__fixed,6005,0.012656119900083264,0.012656119900083307,0.012656119900083307,cc095e54dcab71ff4138709ef88409356af09700be6dcb8bc65f8ec7792da1e5,7d6cdf290804c5f2a4fcf03237af09a4f1d7a07af3026be681759b344109b772,True,True
N-MNIST,1701,exponential_euler,6005,0.013488759367194006,0.013488759367193959,0.013488759367193959,cc095e54dcab71ff4138709ef88409356af09700be6dcb8bc65f8ec7792da1e5,fd5d89665c38548e00ebc5fe0be9cdfdd8c662a58ea608e2d205c79908766379,True,True
N-MNIST,1701,fixed_q8_weights_q16_state,6005,0.005661948376353039,0.005661948376353032,0.005661948376353032,cc095e54dcab71ff4138709ef88409356af09700be6dcb8bc65f8ec7792da1e5,8c79b916c902ed50981b0e267c3172c3642a39afd54d176a9ee5b2875f0057c6,True,True
N-MNIST,1701,floor_rounding_saturation,6005,0.05961698584512906,0.05961698584512909,0.05961698584512909,cc095e54dcab71ff4138709ef88409356af09700be6dcb8bc65f8ec7792da1e5,f71167b6a0435b907a404d9ad764f0f43c37ae0d47688f72c112a5e4b90822f4,True,True
N-MNIST,1701,pre_integration_threshold,6005,0.00016652789342214822,0.00016652789342219698,0.00016652789342219698,cc095e54dcab71ff4138709ef88409356af09700be6dcb8bc65f8ec7792da1e5,398bad0b7f81bf765356fb3c2c9fda7aeb114f1b264efe638578af280bd03ccd,True,True
N-MNIST,1701,pre_threshold__floor,6005,0.05961698584512906,0.05961698584512909,0.05961698584512909,cc095e54dcab71ff4138709ef88409356af09700be6dcb8bc65f8ec7792da1e5,f71167b6a0435b907a404d9ad764f0f43c37ae0d47688f72c112a5e4b90822f4,True,True
